iter	Passed	Remaining
0	2	4821
1	4	4020
2	5	3975
3	7	3850
4	10	4082
5	12	4010
6	14	4013
7	16	3989
8	17	3968
9	19	3832
10	21	3815
11	23	3834
12	25	3867
13	27	3858
14	30	4008
15	32	4056
16	34	4033
17	36	4010
18	38	4000
19	40	4005
20	42	3977
21	44	3979
22	46	3986
23	48	3971
24	49	3947
25	52	3959
26	54	3966
27	56	3970
28	58	3955
29	60	3951
30	62	3980
31	64	3952
32	66	3963
33	68	3966
34	70	3977
35	73	3990
36	75	3981
37	77	4022
38	79	4014
39	81	4002
40	83	4001
41	85	3994
42	88	4005
43	89	3998
44	92	4030
45	94	4035
46	97	4050
47	99	4052
48	101	4051
49	104	4071
50	106	4063
51	109	4086
52	112	4125
53	114	4129
54	116	4120
55	118	4107
56	120	4106
57	123	4132
58	126	4150
59	128	4145
60	130	4136
61	132	4135
62	134	4133
63	136	4139
64	140	4180
65	142	4185
66	144	4175
67	146	4162
68	148	4153
69	150	4149
70	152	4146
71	155	4156
72	157	4159
73	159	4153
74	161	4148
75	163	4143
76	165	4136
77	168	4146
78	171	4158
79	172	4151
80	174	4145
81	177	4141
82	178	4130
83	181	4139
84	183	4142
85	185	4133
86	187	4133
87	189	4127
88	192	4127
89	194	4126
90	196	4123
91	198	4122
92	200	4113
93	203	4124
94	205	4115
95	207	4116
96	209	4110
97	211	4105
98	214	4114
99	216	4117
100	218	4117
101	220	4107
102	222	4099
103	224	4086
104	226	4082
105	227	4068
106	229	4059
107	231	4046
108	232	4041
109	235	4039
110	237	4033
111	238	4021
112	240	4009
113	241	3996
114	243	3984
115	244	3976
116	246	3971
117	248	3970
118	250	3965
119	252	3959
120	254	3947
121	255	3939
122	257	3928
123	259	3918
124	260	3908
125	262	3897
126	263	3886
127	266	3892
128	268	3887
129	269	3877
130	271	3868
131	272	3859
132	274	3849
133	276	3845
134	277	3834
135	279	3824
136	281	3825
137	283	3818
138	284	3808
139	285	3799
140	287	3796
141	290	3796
142	291	3788
143	293	3779
144	294	3773
145	297	3773
146	298	3766
147	300	3759
148	301	3751
149	303	3748
150	306	3749
151	307	3741
152	309	3734
153	311	3730
154	313	3732
155	315	3727
156	317	3722
157	320	3731
158	322	3729
159	323	3721
160	325	3713
161	326	3707
162	329	3709
163	330	3702
164	332	3699
165	334	3692
166	335	3687
167	337	3680
168	339	3673
169	340	3666
170	342	3664
171	344	3663
172	346	3660
173	348	3655
174	350	3655
175	352	3648
176	353	3645
177	355	3639
178	357	3637
179	360	3645
180	362	3642
181	364	3637
182	365	3631
183	367	3624
184	368	3617
185	370	3609
186	372	3608
187	374	3607
188	376	3610
189	378	3605
190	380	3600
191	381	3593
192	383	3588
193	384	3582
194	386	3576
195	388	3572
196	390	3574
197	392	3571
198	394	3566
199	395	3561
200	397	3556
201	398	3550
202	400	3544
203	401	3537
204	403	3531
205	404	3526
206	407	3527
207	408	3523
208	410	3517
209	411	3511
210	413	3504
211	414	3498
212	416	3493
213	418	3489
214	419	3485
