iter	Passed	Remaining
0	2	1384
1	5	1278
2	7	1221
3	9	1197
4	11	1161
5	13	1134
6	16	1127
7	18	1108
8	20	1094
9	21	1072
10	24	1084
11	26	1076
12	28	1076
13	30	1060
14	32	1044
15	34	1039
16	36	1030
17	37	1016
18	39	1011
19	41	1003
20	43	996
21	45	992
22	47	985
23	49	975
24	51	971
25	52	960
26	54	954
27	56	955
28	58	950
29	60	947
30	62	944
31	64	938
32	66	935
33	68	935
34	70	931
35	72	931
36	74	929
37	76	927
38	79	935
39	81	934
40	83	933
41	85	933
42	87	931
43	89	931
44	91	928
45	93	925
46	96	925
47	97	920
48	100	920
49	102	925
50	104	923
51	107	924
52	109	925
53	112	928
54	114	929
55	117	928
56	119	928
57	121	926
58	123	925
59	126	928
60	128	927
61	130	924
62	133	926
63	136	927
64	138	925
65	140	923
66	142	923
67	145	921
68	146	916
69	149	917
70	151	917
71	154	917
72	156	914
73	158	914
74	161	912
75	163	911
76	165	910
77	168	913
78	171	916
79	174	913
80	176	911
81	178	909
82	181	911
83	184	911
84	186	910
85	188	909
86	191	907
87	193	907
88	196	908
89	199	910
90	202	908
91	204	906
92	206	903
93	208	902
94	212	903
95	215	904
96	217	903
97	219	901
98	222	902
99	228	912
100	231	913
101	233	911
102	236	910
103	238	909
104	241	909
105	244	909
106	247	908
107	249	906
108	252	904
109	254	901
110	257	900
111	259	899
112	261	895
113	263	892
114	266	891
115	269	890
116	272	890
117	274	889
118	277	886
119	279	884
120	281	882
121	283	878
122	285	875
123	288	873
124	290	870
125	292	867
126	294	863
127	296	860
128	297	856
129	299	853
130	302	851
131	304	848
132	306	845
133	308	841
134	310	838
135	312	835
136	313	831
137	315	828
138	318	826
139	320	824
140	322	821
141	325	819
142	328	821
143	331	818
144	333	816
145	336	815
146	338	812
147	340	810
148	343	808
149	345	806
150	348	804
151	350	803
152	353	802
153	356	800
154	359	799
155	361	797
156	363	794
157	366	793
158	369	791
159	371	790
160	374	787
161	376	785
162	379	784
163	382	782
164	384	780
165	387	779
166	389	777
167	392	774
168	394	773
169	397	771
170	400	771
171	403	769
172	406	767
173	409	767
174	412	766
175	415	765
176	418	763
177	421	762
178	423	759
179	426	758
180	429	756
181	432	755
182	434	752
183	436	749
184	439	747
185	442	747
186	446	746
187	448	744
188	451	742
189	454	741
190	457	740
191	460	738
192	462	736
193	465	733
194	467	731
195	471	731
196	474	729
197	477	727
198	479	725
199	482	723
200	484	721
201	488	720
202	490	717
203	492	714
204	496	714
205	498	711
206	500	708
207	504	708
208	507	706
209	509	703
210	512	701
211	515	699
212	517	697
213	520	695
214	522	693
215	525	690
216	528	688
217	530	686
218	534	686
219	537	683
220	540	682
221	542	679
222	545	677
223	548	675
224	551	674
225	554	672
226	557	670
227	559	667
228	561	665
229	565	663
230	568	661
231	570	659
232	574	657
233	576	655
234	580	654
235	582	651
236	584	648
237	587	646
238	589	644
239	592	641
240	595	640
241	598	637
242	603	638
243	609	639
244	612	637
245	615	635
246	618	633
247	620	630
248	623	628
249	626	626
250	629	624
251	632	622
252	634	619
253	637	617
254	641	616
255	645	615
256	647	612
257	650	610
258	653	608
259	657	606
260	660	604
261	663	602
262	666	600
263	668	597
264	673	597
265	677	595
266	680	593
267	683	591
268	687	590
269	690	588
270	692	585
271	695	583
272	698	580
273	704	581
274	707	578
275	710	576
276	712	573
277	714	570
278	718	569
279	720	566
280	723	563
281	726	561
282	729	559
283	731	556
284	736	555
285	740	553
286	742	551
287	745	548
288	751	548
289	753	545
290	756	543
291	759	540
292	762	538
293	765	536
294	768	533
295	770	531
296	774	529
297	778	527
298	781	525
299	784	522
300	786	520
301	789	517
302	792	515
303	795	513
304	798	510
305	800	507
306	802	504
307	805	501
308	807	498
309	810	496
310	813	494
311	815	491
312	819	489
313	822	487
314	825	484
315	828	482
316	831	480
317	834	477
318	837	474
319	840	472
320	842	469
321	844	466
322	846	464
323	848	461
324	851	458
325	853	455
326	856	453
327	858	450
328	860	447
329	863	444
330	865	441
331	868	439
332	873	437
333	875	435
334	877	432
335	880	429
336	882	426
337	884	424
338	887	421
339	889	418
340	891	415
341	894	413
342	896	410
343	899	408
344	902	405
345	904	402
346	907	400
347	909	397
348	912	394
349	915	392
350	918	389
351	920	387
352	923	384
353	926	381
354	928	379
355	931	376
356	934	374
357	936	371
358	938	368
359	941	365
360	943	363
361	945	360
362	948	357
363	950	355
364	953	352
365	955	349
366	958	347
367	961	344
368	963	342
369	965	339
370	968	336
371	971	334
372	973	331
373	975	328
374	977	325
375	979	323
376	981	320
377	984	317
378	986	315
379	989	312
380	991	309
381	994	307
382	997	304
383	999	301
384	1001	299
385	1003	296
386	1006	293
387	1008	291
388	1011	288
389	1013	285
390	1015	283
391	1018	280
392	1020	277
393	1021	274
394	1024	272
395	1026	269
396	1029	266
397	1030	264
398	1032	261
399	1034	258
400	1036	255
401	1038	253
402	1040	250
403	1042	247
404	1044	245
405	1046	242
406	1048	239
407	1050	236
408	1052	234
409	1054	231
410	1056	228
411	1058	226
412	1060	223
413	1062	220
414	1064	218
415	1066	215
416	1067	212
417	1069	209
418	1072	207
419	1075	204
420	1077	202
421	1079	199
422	1081	196
423	1083	194
424	1085	191
425	1087	188
426	1089	186
427	1091	183
428	1094	181
429	1096	178
430	1098	175
431	1100	173
432	1103	170
433	1105	168
434	1107	165
435	1109	162
436	1111	160
437	1113	157
438	1115	155
439	1118	152
440	1119	149
441	1122	147
442	1123	144
443	1125	142
444	1127	139
445	1129	136
446	1131	134
447	1134	131
448	1136	129
449	1139	126
450	1141	123
451	1143	121
452	1145	118
453	1148	116
454	1150	113
455	1153	111
456	1155	108
457	1158	106
458	1160	103
459	1162	101
460	1167	98
461	1170	96
462	1173	93
463	1176	91
464	1178	88
465	1181	86
466	1183	83
467	1185	81
468	1188	78
469	1190	76
470	1193	73
471	1196	70
472	1199	68
473	1201	65
474	1203	63
475	1206	60
476	1208	58
477	1211	55
478	1213	53
479	1216	50
480	1218	48
481	1220	45
482	1223	43
483	1225	40
484	1228	38
485	1231	35
486	1233	32
487	1235	30
488	1238	27
489	1240	25
490	1242	22
491	1245	20
492	1247	17
493	1250	15
494	1252	12
495	1254	10
496	1256	7
497	1259	5
498	1262	2
499	1264	0
