"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Mô tả","Thời lượng (giây)","Thời gian đăng","Loại chú thích","Liên kết vĩnh viễn","Là nội dung đăng chéo","Là bài viết chia sẻ","Loại bài viết","Ngôn ngữ","Nhãn tùy chỉnh","Trạng thái nội dung được tài trợ","Bình luận về dữ liệu",Ngày,"Lượt hiển thị","Phạm vi tiếp cận",IMPRESSION:UNIQUE_USERS,"Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Tổng số lượt click","Lượt click khác","Tổng số lượt click của người dùng khớp với đối tượng nhắm mục tiêu (Photo Click)","Lượt click vào liên kết"
979003057563824,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","HOÀ NHỊP CÁCH MẠNG 4.0 👉 TỰ TIN THEO ĐUỔI ĐAM MÊ NGHIÊN CỨU TRÍ TUỆ NHÂN TẠO CÙNG ĐẠI HỌC ĐÔNG Á! 
✅ Học Trí tuệ nhân tạo ở ĐH Đông Á 👉 Sinh viên có sự đồng hành dẫn dắt & cố vấn học tập chất lượng cao từ Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu - Nơi quy tụ các Tiến sĩ, thạc sĩ, chuyên gia cao cấp về A.I của trong nước và quốc tế; 
✅ Chương trình đào tạo đề cao tính ứng dụng và dễ tiếp cận kiến thức, giúp sinh viên dễ dàng tiếp thu;
Sinh viên học ngành AI có cơ hội được tiếp cận với chuyên ngành Thiết kế Vi mạch và hệ thống nhúng thông minh;
Các giảng viên ngành A.I tại UDA luôn nỗ lực mang đến những phương pháp giảng dạy gần gũi và dễ hiểu!
✅ Chương trình sẽ được giảng dạy bởi nhiều GS tại trường sau đại học Graduate School MADIS-631 chuyên đào tạo ngành công nghệ số của ĐH Lille và rất nhiều chuyên gia từ các tập đoàn lớn của Châu Âu;
✅ Không chỉ là môi trường học tập chất lượng, quốc tế hoá, sinh viên còn có cơ hội ""thực chiến"", đồng hành cùng các dự án nghiên cứu trong nước và cấp quốc tế của Viện IAD; 
✅ Cơ hội được nhà trường lựa chọn nhận Học bổng cho học kỳ trao đổi đến Pháp - University of Lille. 
-------
CHỚP CƠ HỘI XÉT TUYỂN SỚM NGÀNH TRÍ TUỆ NHÂN TẠO TẠI ĐH ĐÔNG Á
Mã ngành: 7480107,
Hoặc 7480107DL (khi đăng ký học tại Phân hiệu Đắk Lắk) 
Cơ hội chinh phục Học bổng Hoa Anh Đào từ 50-100% học phí toàn khoá!
#tuyensinhdonga #daihocdonga #tuvantuyensinh #HocBongHoaAnhDao #TriTueNhanTao #AI 
-----
Chọn Đại học Đông Á,
TĂNG cơ hội thành công, GIẢM gánh lo gia đình! 
🌸 TRỤ SỞ TẠI ĐÀ NẴNG: 33 Xô Viết Nghệ Tĩnh, Q. Hải Châu 
🌸 PHÂN HIỆU ĐẮK LẮK: 40 Phạm Hùng, TP. Buôn Ma Thuột
☎  Hotline: 0236 3519 991",,0,"07/03/2024 21:18",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0HmLy7UaGcBHvbFYuHH2CeigGK9735qSFS2CbFYrw9mYuATAi2vRxqyP95D2mFoaVl,0,0,Ảnh,,,,,"Trọn đời",130,115,,8,5,3,0,1,1,,
978999627564167,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Các thành viên của Viện IAD hội ngộ tại Pháp.",,0,"07/03/2024 21:11",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02Nj7VLHQFRqWabkWxYbfYeLqk2UG6cab84yFUKpjTmyWuWdyA6z4ssKaY7fv9QeyMl,0,0,Ảnh,,,,,"Trọn đời",1624,1408,,47,46,0,1,234,41,193,
1039734581490671,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Đại học Đông Á dành học bổng toàn phần bậc đại học cho học sinh THPT Làng Nủ

Ngày 23/9, Đại học Đông Á cho biết, nhà trường đã quyết định cấp học bổng toàn phần 100% học phí toàn khoá, bậc đại học cho tất cả các sinh viên là trẻ mồ côi, con em người dân thôn Làng Nủ (xã Phúc Khánh, huyện Bảo Yên, tỉnh Lào Cai) – nơi vừa bị thiệt hại nặng nề do bão lũ vùi lấp làng sau bão số 3 Yagi – nếu các em dự tuyển – vào Đại học Đông Á (Đà Nẵng).

Học bổng được trích từ Quỹ học bổng Hoa Anh Đào của ĐH Đông Á, sẽ được cấp cho các em ở Làng Nủ (hiện đang học ở bậc THPT) khi các em đủ tuổi vào học đại học tại Trường Đại học Đông Á.

",,0,"09/23/2024 20:55",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02jw36UjE6j144HvUn9EqPwDDNKm9RMndPCb4V5toBrhvs3zfC6vFEBhSQWKdwojgul,0,0,"Liên kết",,,,,"Trọn đời",177,137,,7,5,1,1,2,1,,1
1039690504828412,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Khoa Y Đại học Đông Á vừa tiếp nhận chuyên gia nước ngoài về tiêu hoá và ung thư dạ dày đại tràng đến từ Nhật bản; Là chuyên gia hàng đầu về mổ ung thư dạ dày đại tràng . 
Chúc mừng Khoa Y . Các em sinh viên sẽ được chuyên có chuyên môn sâu giảng dạy bằng tiếng Anh .",,0,"09/23/2024 19:36",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02q9z9pAW1rxFdQocmEy1qy87Eywg1MPppGzjy7tvNzofKfZN7PjcEJgfFry7AQ2qSl,0,1,Ảnh,,,,,"Trọn đời",122,95,,6,4,2,0,2,,2,
1039689828161813,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🌸 Cùng với Lễ Khai giảng 2024 là khởi động Chuỗi cuộc thi đồng hành cùng tân sinh viên 2024 Đại học Đông Á 🌸
_TẠO DỰNG CON ĐƯỜNG THÀNH CÔNG_ 
Sân khấu của tài năng, bản lĩnh và khả năng thích ứng trong thời kì hội nhập dành cho SV Đại học Đông Á 🎊",,0,"09/23/2024 19:34",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0uAPMtfUasBKayCaga141cHxJgk7Mn7W5HLM5XQdLmmA7R44KFu1oV1h7EdHfvfUdl,0,1,Video,,,,,"Trọn đời",74,51,,4,2,2,0,0,,,
1039688824828580,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Tại Lễ Khai giảng năm học 2024-2025 Đại học Đông Á, Lãnh đạo UBND TP. Đà Nẵng trao tặng ĐH Đông Á Bằng khen của Chủ tịch UBND TP. Đà Nẵng dành cho tập thể đã có thành tích xuất sắc trong 10 năm thực hiện Chỉ thị số 38-CT/TU ngày 5/9/2014 của Ban Thường vụ Thành uỷ về tiếp tục đổi mới công tác thi đua, khen thưởng, giai đoạn 2014-2024.",,0,"09/23/2024 19:32",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0w8jFgrgcsEkxXMEvKvsoMfTHhPJf6U6tUvgtHxMN7G5kYvXvR8QGpvsJ7XKF7xjRl,0,1,Ảnh,,,,,"Trọn đời",64,46,,5,3,2,0,0,,,
1039688351495294,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🌸 Gần 30 tỷ đồng học bổng dành cho tân sinh viên ĐH Đông Á năm 2024 ❤",,0,"09/23/2024 19:31",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02vp42Kk5tqusRNW5znrLifuck2hYGwuNnt9SeKDyyKVgVURayr32cVSczyVSAKVy3l,0,1,Ảnh,,,,,"Trọn đời",91,67,,6,4,2,0,0,,,
1039688068161989,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🎊 Lễ Khai giảng năm học 2024-2025 Đại học Đông Á 🎊",,0,"09/23/2024 19:31",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02GmTpC5JeyiQePVVx4sJ4Fefga9ZMtut967McqYQQdbNN59vmYhErTmBZNJJ3smZSl,0,1,Ảnh,,,,,"Trọn đời",46,36,,3,2,1,0,0,,,
1034810901983039,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Lễ khai giảng góp yêu thương gửi về miền Bắc ❤
---",,0,"09/18/2024 00:47",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid029Jt5U5AFs6Hk62NiymAfvA7sP2Ty6ZK5ia66w8FyWGy78gHkciDiWQjeCbqwpmfDl,0,1,Ảnh,,,,,"Trọn đời",100,78,,8,6,1,1,6,6,,
1033140078816788,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Đa dạng các sản phẩm khởi nghiệp của sinh viên Đại học Đông Á hiện diện tại SURF 2024 - Ngày hội Khởi nghiệp Đổi mới Sáng tạo thành phố Đà Nẵng lần thứ 7",,0,"09/16/2024 00:09",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0284hBS7HEDSWUZ9KmJrVpwFUbXYBGDLooSdUXTf4NhNmngS9ch9bC4Z3mXDnsxGqzl,0,1,Ảnh,,,,,"Trọn đời",91,70,,3,3,0,0,2,,2,
