"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Mô tả","Thời lượng (giây)","Thời gian đăng","Loại chú thích","Liên kết vĩnh viễn","Là nội dung đăng chéo","Là bài viết chia sẻ","Loại bài viết","Ngôn ngữ","Nhãn tùy chỉnh","Trạng thái nội dung được tài trợ","Bình luận về dữ liệu",Ngày,"Lượt hiển thị","Phạm vi tiếp cận","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Tổng số lượt click","Lượt click khác","Tổng số lượt click của người dùng khớp với đối tượng nhắm mục tiêu (Photo Click)","Lượt click vào liên kết"
1049082350555894,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","❤ Chuyến đi “xây” ước mơ hội nhập cho sinh viên của ""người Thầy việc làm"" ĐH Đông Á ❤",,0,"10/04/2024 20:17",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid031iYbxvou67KtgcqMFZPAdcmRqMk6Y98qApfC552iAEXNZ3whA6wJC4gHJ4F7eGpNl,0,1,Ảnh,,,,,"Trọn đời",128,101,5,5,0,0,4,2,2,
1047562510707878,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","𝟑𝐫𝐝 𝐈𝐒𝐒𝐀𝐓 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐂𝐨𝐧𝐟𝐞𝐫𝐞𝐧𝐜𝐞 𝐨𝐧 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐢𝐧 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬, 𝐅𝐢𝐧𝐚𝐧𝐜𝐞 𝐚𝐧𝐝 𝐈𝐧𝐝𝐮𝐬𝐭𝐫𝐲

Date: 𝗝𝗮𝗻 𝟲-𝟴, 𝟮𝟬𝟮𝟱
Place: Dong A University

𝑶𝒓𝒈𝒂𝒏𝒊𝒛𝒆𝒓𝒔 𝒂𝒏𝒅 𝑺𝒑𝒐𝒏𝒔𝒐𝒓𝒔:
  
The conference is organized and sponsored by International Society of Science and Applied Technologies (ISSAT) in cooperation with Dong A University, Vietnam.

👉𝑰𝒎𝒑𝒐𝒓𝒕𝒂𝒏𝒕 𝑫𝒂𝒕𝒆𝒔: 

🔥 Extended Abstract Submission Deadline: 𝐎𝐜𝐭𝐨𝐛𝐞𝐫 𝟏𝟓, 𝟐𝟎𝟐𝟒

🔥 Camera-ready Paper Due: 𝐍𝐨𝐯𝐞𝐦𝐛𝐞𝐫 𝟏𝟓, 𝟐𝟎𝟐𝟒

🔥Registration Deadline: 𝐍𝐨𝐯𝐞𝐦𝐛𝐞𝐫 𝟏𝟓, 𝟐𝟎𝟐𝟒

𝐓𝐨𝐩𝐢𝐜𝐬 𝐨𝐟 𝐈𝐧𝐭𝐞𝐫𝐞𝐬𝐭:
 Topics of interest for submission include, but are not limited to:
- Advanced Statistical Methods in Data Science
- Algorithms, Models and Theory of Deep Learning
- Machine Learning and Statistical Methods for Data Mining
- Predictive Modeling and Analytics in Business, Finance and Industry
- Data Mining Applications in Healthcare, Finance and Industry
- Recommender Systems in Data Science
- Quantitative Modeling in Big Data
- Data Warehouse for Business Intelligence
- Artificial Intelligence (AI) and Autonomous Machines
- Big Data Mining and Analytics
- Statistical Techniques and Tools for Data Science
- Healthcare Systems and Management
- Information and Data Processing in Business
- Spatial Data Analysis
- Search and Knowledge Discovery
- Data Intelligence, Security and Privacy
- Cyber Resilience and Security
- Security, Trust and Risk in Big Data
- Mobile Systems and Development for Handheld Devices
- Business and Operation Analytics
- Service Innovation and Management
- Supply Chain Management Systems Modeling and Simulation
- Technology and Knowledge Management
- Applications of data science in business, finance, social sciences, physical sciences, life sciences, web, marketing, precision medicine, education, health informatics, and industry

For more info. please click: https://www.issatconferences.org/dsbfi2025.html",,0,"10/03/2024 01:30",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02ir8byzVuzAfRn9Exyn7FRvuCgGQspWgvv577fV1bGbd4vVHGZv6jTjPwhzpgGJF7l,0,0,Ảnh,,,,,"Trọn đời",892,672,82,52,16,14,24,16,5,3
1114183747379087,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","𝐇𝐨̣̂𝐢 𝐧𝐠𝐡𝐢̣ 𝐪𝐮𝐨̂́𝐜 𝐭𝐞̂́ 𝐈𝐒𝐒𝐀𝐓 𝐥𝐚̂̀𝐧 𝐭𝐡𝐮̛́ 𝟑 𝐯𝐞̂̀ 𝐊𝐡𝐨𝐚 𝐡𝐨̣𝐜 𝐝𝐮̛̃ 𝐥𝐢𝐞̣̂𝐮 𝐭𝐫𝐨𝐧𝐠 𝐊𝐢𝐧𝐡 𝐝𝐨𝐚𝐧𝐡, 𝐓𝐚̀𝐢 𝐜𝐡𝐢́𝐧𝐡 𝐯𝐚̀ 𝐂𝐨̂𝐧𝐠 𝐧𝐠𝐡𝐢𝐞̣̂𝐩 - 𝐃𝐒𝐁𝐅𝐈 𝟐𝟎𝟐𝟓.
------------------
1️⃣. Thời gian và địa điểm
📅 Thời gian: Ngày 06-08/01/2024.
📍 Địa điểm: Trường Đại học Đông Á.

2️⃣. Nhà tổ chức và tài trợ
Hội nghị được tổ chức và tài trợ bởi Hiệp hội quốc tế về Khoa học và Công nghệ ứng dụng (International Society of Science and Applied Technologies - ISSAT) trong sự hợp tác cùng Trường Đại học Đông Á.

3️⃣. Mục tiêu và phạm vi hội nghị
𝐇𝐨̣̂𝐢 𝐧𝐠𝐡𝐢̣ 𝐪𝐮𝐨̂́𝐜 𝐭𝐞̂́ 𝐃𝐒𝐁𝐅𝐈 𝐡𝐮̛𝐨̛́𝐧𝐠 đ𝐞̂́𝐧:
- Cung cấp diễn đàn quốc tế để trình bày các kết quả nghiên cứu mới và chia sẻ kinh nghiệm thực tế, sáng tạo.
- Thúc đẩy các phát hiện nghiên cứu chất lượng cao và các giải pháp sáng tạo cho các vấn đề khoa học dữ liệu thách thức.
- Nâng cao trình độ nghiên cứu trong lĩnh vực khoa học dữ liệu.
𝐏𝐡𝐚̣𝐦 𝐯𝐢:
- Bao gồm tất cả các khía cạnh của khoa học dữ liệu trong kinh doanh, tài chính và công nghiệp, từ thuật toán, mô hình hóa đến ứng dụng thực tiễn.
- Xử lý dữ liệu lớn từ các nguồn như mạng xã hội, thương mại điện tử, IoT để cải thiện sản phẩm và dịch vụ.
- Thu hút các nhà nghiên cứu, ứng dụng và học viên trong các lĩnh vực liên quan như thống kê, khoa học máy tính, phân tích kinh doanh, kỹ thuật và khoa học ứng dụng.

4️⃣. Các chủ đề quan tâm
- Advanced Statistical Methods in Data Science (Phương pháp thống kê nâng cao trong khoa học dữ liệu)
- Algorithms, Models and Theory of Deep Learning (Thuật toán, Mô hình và Lý thuyết Học sâu)
- Machine Learning and Statistical Methods for Data Mining (Học máy và phương pháp thống kê để khai thác dữ liệu)
- Predictive Modeling and Analytics in Business, Finance and Industry (Mô hình dự đoán và phân tích trong kinh doanh, tài chính và công nghiệp)
- Data Mining Applications in Healthcare, Finance and Industry (Ứng dụng khai thác dữ liệu trong chăm sóc sức khỏe, tài chính và công nghiệp)
- Recommender Systems in Data Science (Hệ thống đề xuất trong khoa học dữ liệu)
- Quantitative Modeling in Big Data (Mô hình định lượng trong dữ liệu lớn)
- Data Warehouse for Business Intelligence (Kho dữ liệu cho kinh doanh thông minh)
- Artificial Intelligence (AI) and Autonomous Machines (Trí tuệ nhân tạo (AI) và máy móc tự động)
- Big Data Mining and Analytics (Khai thác và phân tích dữ liệu lớn)
- Statistical Techniques and Tools for Data Science (Kỹ thuật thống kê và công cụ cho khoa học dữ liệu)
- Healthcare Systems and Management (Hệ thống quản lý và chăm sóc sức khỏe)
- Information and Data Processing in Business (Thông tin và xử lý dữ liệu trong kinh doanh)
- Spatial Data Analysis (Phân tích không gian dữ liệu)
- Search and Knowledge Discovery (Tìm kiếm và khám phá kiến ​​thức)
- Data Intelligence, Security and Privacy (Dữ liệu thông minh, bảo mật và quyền riêng tư)
- Cyber Resilience and Security (Khả năng phục hồi và an ninh mạng)
- Security, Trust and Risk in Big Data (Bảo mật, Niềm tin và Rủi ro trong Dữ liệu lớn)
- Mobile Systems and Development for Handheld Devices (Hệ thống di động và Sự phát triển cho thiết bị cầm tay)
- Business and Operation Analytics (Phân tích hoạt động và kinh doanh)
- Service Innovation and Management (Dịch vụ Quản lý và Đổi mới)
- Supply Chain Management Systems Modeling and Simulation (Mô hình hóa và mô phỏng hệ thống quản lý chuỗi cung ứng)
- Technology and Knowledge Management (Quản lý Công nghệ và Tri thức)
- Applications of data science in business, finance, social sciences, physical sciences, life sciences, web, marketing, precision medicine, education, health informatics, and industry (Ứng dụng của khoa học dữ liệu trong kinh doanh, tài chính, khoa học xã hội, khoa học vật lý, khoa học sự sống, web, tiếp thị, y học chính xác, giáo dục, tin học y tế và công nghiệp)

5️⃣. Chủ tọa hội nghị
- GS. Phạm Hoàng, Đại học Rutgers, Mỹ.
- TS. Nguyễn Thị Anh Đào, Đại học Đông Á, Việt Nam.

6️⃣. Chủ tọa chương trình
 PGS. TSKH. Trần Kim Phúc, Đại học Lille, Pháp.
- GS. Xufeng Zhao, Đại học Hàng không và Du hành vũ trụ Nam Kinh, Trung Quốc.

7️⃣. Link website hội nghị: https://issatconferences.org/dsbfi2025.html

#UDA #IAD #AI #Datascience #InternationalConference #DSBFI2025 #ISSAT #Hoinghiquocte #Hoithaokhoahoc",,0,"12/27/2024 00:00",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0Yih5M4gMiW59T2rMbPwyinGzttvLZzuRyCka4tXurYGrhPKde8on8yKjDLqE6wgnl,0,0,Ảnh,,,,,"Trọn đời",25,25,2,2,0,0,3,2,,1
1111054891025306,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","Xin chúc mừng các công trình nghiên cứu khoa học của các thành viên Viện IAD đã được chấp nhận trình bày và xuất bản tại 𝐇𝐨̣̂𝐢 𝐧𝐠𝐡𝐢̣ 𝐃𝐒𝐁𝐅𝐈 𝟐𝟎𝟐𝟓. Trong đó có 01 bài đạt giải thưởng bài báo xuất sắc nhất.
----
Các công trình nghiên cứu khoa học của các thành viên Viện IAD đã được chấp nhận trình bày và xuất bản tại Hội nghị quốc tế về Khoa học dữ liệu trong kinh doanh, Tài chính và Công nghiệp - DSBFI 2025.

1️⃣ Bài báo “𝑬𝒙𝒑𝒍𝒂𝒊𝒏𝒂𝒃𝒍𝒆 𝑳𝒊𝒈𝒉𝒕𝒘𝒆𝒊𝒈𝒉𝒕 𝑭𝒆𝒅𝒆𝒓𝒂𝒕𝒆𝒅 𝑳𝒆𝒂𝒓𝒏𝒊𝒏𝒈 𝒇𝒐𝒓 𝑳𝒐𝒂𝒅 𝑭𝒐𝒓𝒆𝒄𝒂𝒔𝒕𝒊𝒏𝒈 𝒘𝒊𝒕𝒉 𝑺𝒎𝒂𝒓𝒕 𝑴𝒆𝒕𝒆𝒓 𝒅𝒂𝒕𝒂” của nhóm tác giả Le Vu Hoang Duc, Ngo Van Uc, Kim Duc Tran, Ludovic Koehl, Kim Phuc Tran.

2️⃣ Bài báo “𝑰𝒏𝒕𝒆𝒍𝒍𝒊𝒈𝒆𝒏𝒕 𝑫𝒆𝒄𝒊𝒔𝒊𝒐𝒏 𝑺𝒖𝒑𝒑𝒐𝒓𝒕 𝑺𝒚𝒔𝒕𝒆𝒎𝒔 𝒇𝒐𝒓 𝑺𝒖𝒑𝒑𝒍𝒚 𝑪𝒉𝒂𝒊𝒏 𝑴𝒂𝒏𝒂𝒈𝒆𝒎𝒆𝒏𝒕: 𝑺𝒕𝒐𝒓𝒆 𝑹𝒆𝒑𝒍𝒆𝒏𝒊𝒔𝒉𝒎𝒆𝒏𝒕 𝒊𝒏 𝑭𝒂𝒔𝒉𝒊𝒐𝒏 𝑹𝒆𝒕𝒂𝒊𝒍𝒊𝒏𝒈” của nhóm tác giả Minh Anh Luong, Sébastien Thomassey, Kim Phuc Tran.

3️⃣Bài báo “𝑨 𝑪𝒐𝒎𝒑𝒓𝒆𝒉𝒆𝒏𝒔𝒊𝒗𝒆 𝑨𝒑𝒑𝒓𝒐𝒂𝒄𝒉 𝒕𝒐 𝑻𝒂𝒃𝒖𝒍𝒂𝒓 𝑫𝒂𝒕𝒂 𝑪𝒍𝒂𝒔𝒔𝒊𝒇𝒊𝒄𝒂𝒕𝒊𝒐𝒏: 𝑭𝑻-𝑻𝒓𝒂𝒏𝒔𝒇𝒐𝒓𝒎𝒆𝒓 𝑬𝒏𝒉𝒂𝒏𝒄𝒆𝒅 𝒃𝒚 𝑲𝑵𝑵 𝑰𝒎𝒑𝒖𝒕𝒂𝒕𝒊𝒐𝒏 𝒂𝒏𝒅 𝑰𝑪𝑨 𝒊𝒏 𝑫𝒊𝒂𝒃𝒆𝒕𝒆𝒔 𝑪𝒍𝒂𝒔𝒔𝒊𝒇𝒊𝒄𝒂𝒕𝒊𝒐𝒏” của nhóm tác giả Tho Nguyen, Hao Mai Xuan, Quoc-Thong Nguyen, Kim Duc Tran, Ludovic Koehl, Kim Phuc Tran.

4️⃣Bài báo “𝑬𝒙𝒑𝒍𝒂𝒊𝒏𝒂𝒃𝒍𝒆 𝑨𝒏𝒐𝒎𝒂𝒍𝒚 𝑫𝒆𝒕𝒆𝒄𝒕𝒊𝒐𝒏 𝑭𝒓𝒂𝒎𝒆𝒘𝒐𝒓𝒌 𝒇𝒐𝒓 𝑪𝒚𝒃𝒆𝒓𝒔𝒆𝒄𝒖𝒓𝒊𝒕𝒚 𝒊𝒏 𝑺𝒎𝒂𝒓𝒕 𝑴𝒂𝒏𝒖𝒇𝒂𝒄𝒕𝒖𝒓𝒊𝒏𝒈” của nhóm tác giả Thi Hien Nguyen, Kim Duc Tran, Kim Phuc Tran.

5️⃣Bài báo “𝑨𝒏𝒐𝒎𝒂𝒍𝒚 𝑫𝒆𝒕𝒆𝒄𝒕𝒊𝒐𝒏 𝒊𝒏 𝑴𝒐𝒓𝒑𝒉𝒐𝒍𝒐𝒈𝒊𝒆𝒔 𝒐𝒇 𝑯𝒖𝒎𝒂𝒏 𝑳𝒆𝒈𝒔 𝒇𝒐𝒓 𝒕𝒉𝒆 𝑰𝒎𝒑𝒍𝒆𝒎𝒆𝒏𝒕𝒂𝒕𝒊𝒐𝒏 𝒐𝒇 𝑨𝒅𝒂𝒑𝒕𝒊𝒗𝒆 𝑳𝒆𝒈 𝑴𝒐𝒓𝒑𝒉𝒐𝒕𝒚𝒑𝒆𝒔 𝒂𝒏𝒅 𝑴𝒆𝒅𝒊𝒄𝒂𝒍 𝑪𝒐𝒎𝒑𝒓𝒆𝒔𝒔𝒊𝒐𝒏 𝑺𝒕𝒐𝒄𝒌𝒊𝒏𝒈𝒔” của nhóm tác giả Timea Banfalvi, Dac Hieu Nguyen, Kim Duc Tran, Guillaume Tartare, Pascal Bruniaux, Xianyi Zeng, Kim Phuc Tran.

6️⃣Bài báo “𝑻𝒉𝒆 𝑹𝒐𝒍𝒆 𝒐𝒇 𝑨𝒓𝒕𝒊𝒇𝒊𝒄𝒊𝒂𝒍 𝑰𝒏𝒕𝒆𝒍𝒍𝒊𝒈𝒆𝒏𝒄𝒆 𝒊𝒏 𝑻𝒓𝒂𝒏𝒔𝒇𝒐𝒓𝒎𝒊𝒏𝒈 𝑯𝒖𝒎𝒂𝒏 𝑹𝒆𝒔𝒐𝒖𝒓𝒄𝒆𝒔 𝑴𝒂𝒏𝒂𝒈𝒆𝒎𝒆𝒏𝒕 𝒘𝒊𝒕𝒉𝒊𝒏 𝒕𝒉𝒆 𝑻𝒆𝒙𝒕𝒊𝒍𝒆 𝑰𝒏𝒅𝒖𝒔𝒕𝒓𝒚: 𝑶𝒑𝒑𝒐𝒓𝒕𝒖𝒏𝒊𝒕𝒊𝒆𝒔, 𝑪𝒉𝒂𝒍𝒍𝒆𝒏𝒈𝒆𝒔, 𝒂𝒏𝒅 𝑬𝒕𝒉𝒊𝒄𝒂𝒍 𝑪𝒐𝒏𝒔𝒊𝒅𝒆𝒓𝒂𝒕𝒊𝒐𝒏𝒔 𝒊𝒏 𝒕𝒉𝒆 𝑨𝒈𝒆 𝒐𝒇 𝑰𝒏𝒅𝒖𝒔𝒕𝒓𝒚 5.0” của nhóm tác giả Nguyen Anh Luong, Laëtitia Roux, Christel Beaucourt, Kim Phuc Tran.

⚠️  Đặc biệt, bài báo “Explainable Lightweight Federated Learning for Load Forecasting with Smart Meter data” đã vinh dự nhận giải 𝑩𝒂̀𝒊 𝒃𝒂́𝒐 𝒙𝒖𝒂̂́𝒕 𝒔𝒂̆́𝒄 𝒏𝒉𝒂̂́𝒕 (𝑩𝒆𝒔𝒕 𝑷𝒂𝒑𝒆𝒓 𝑨𝒘𝒂𝒓𝒅) và sẽ được trình bày, tôn vinh tại hội nghị. 🎉🎉🎉

Một lần nữa, xin gửi lời chúc mừng nồng nhiệt đến các nhóm tác giả vì những công trình nghiên cứu mang tính học thuật cao và đóng góp ý nghĩa cho nền khoa học. Đây không chỉ là niềm tự hào của Viện IAD mà còn là minh chứng cho sự cống hiến và nỗ lực. ❤️

#IAD #UDA #AI #InternationalConference #DSBFI2025 #BestPaper",,0,"12/22/2024 20:21",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02JYEFyYsUjYSZGyz6GeUWjRRcKjtfYEj5e2Mw7CtWpJ38iArNoEHMxnqLgGVw9uZsl,0,0,Ảnh,,,,,"Trọn đời",224,209,26,19,4,3,13,13,,
1106508824813246,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🎊 Sinh viên Đại học Đông Á khởi động chương trình thực tập hưởng lương tại Mỹ với visa J1 🎊
Lê Thị Quỳnh - sinh viên năm 4 ngành Quản trị khách sạn Đại học Đông Á vừa đỗ visa J1 để bắt đầu hành trình thực tập hưởng lương tại Pier Sixty-six Hotel & Mariana, bang Florida, Mỹ từ cuối tháng 12/2024 này.
Quỳnh vừa có phiên giao lưu và chia sẻ câu chuyện cùng kinh nghiệm thực tiễn của bản thân đến với sinh viên khoa Du lịch qua chương trình “Định hướng thực tập & làm việc trong ngành Nhà hàng - Khách sạn tại Mỹ” diễn ra tại trường. 
Được biết, hợp tác với Công ty Placement International (PI) được ký kết ngay tại Ngày hội việc làm thường niên lần thứ 16 của Đại học Đông Á.
Đây là chương trình dành cho sinh viên và cả cựu sinh viên khối ngành Du lịch ĐH Đông Á với chương trình thực tập hưởng lương và đào tạo chất lượng cao trong thời gian từ 6 tháng – 1 năm tại Hoa Kỳ.",,0,"12/17/2024 00:28",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0uF5jMNvtnSq3ddFrjUtXuoD7raBonhWc42tmMhLW1Bu2wE9D67P3jckuEfokoLJsl,0,1,Ảnh,,,,,"Trọn đời",76,68,3,2,1,0,3,2,1,
1106508671479928,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🎊 Đề tài nghiên cứu “Khai thác giá trị văn hóa tò he đối với hoạt động du lịch tại thành phố Hội An, tỉnh Quảng Nam” của sinh viên Nguyễn Thị Lộc và Trần Thục Trinh - Khoa Du lịch trường Đại học Đông Á góp mặt tại Chung kết Cuộc thi Sinh viên Nghiên cứu Khoa học thành phố Đà Nẵng năm 2024 đã nối dài chuỗi giải thưởng năm thứ 4 liên tiếp của sinh viên UDA tại sân chơi học thuật đầy thú vị này 🎊
---",,0,"12/17/2024 00:28",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid02oouD7FsA5ShebxUL9nMwtkSQ76EM1rqv5cHMFp7g19g1TJiKWvLnZz42Ca6JJBkbl,0,1,"Liên kết",,,,,"Trọn đời",75,69,3,1,2,0,1,1,,
1106508414813287,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🎊 Giám khảo chương trình Siêu trí tuệ Việt Nam - PGS. TS Trần Thành Nam vừa có buổi giao lưu cùng sinh viên Tâm lý học Đại học Đông Á qua chuyên đề thú vị “Tự học và học tập suốt đời trong kỷ nguyên số”.
---
https://donga.edu.vn/Moi-truong-hoc-tap/hoat-dong-sinh-vien/hssv-detail/udaers-thich-thu-giai-ma-chuyen-de-hoc-tap-cung-giam-khao-sieu-tri-tue-viet-nam-37258?fbclid=IwZXh0bgNhZW0CMTEAAR2oKYhATqIyQ028z2fC4TwVw81LtjVQszQHBpVYVyd1KIcdsKvjNBId9rU_aem_m2TEjHwHCD31CJYzF-qOKA",,0,"12/17/2024 00:27",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0BitZh7dVU9dtM26GWduDD5UELpfM33QcWCaFBZszQ1vQA5JruwV4B548Uqyd4kNyl,0,1,"Liên kết",,,,,"Trọn đời",54,50,4,2,2,0,0,,,
1106507974813331,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","GIải Nhất toàn đoàn dành cho chương trình nghệ thuật ""Bản hùng ca Tôi yêu Tổ quốc tôi"" của đoàn nghệ thuật Đại học Đông Á 
Liên hoan Nghệ thuật Quần chúng Lực lượng Vũ trang, Thanh niên, Học sinh, Sinh viên TP. Đà Nẵng năm 2024 khép lại với đêm tổng kết, có 11 tiết mục xuất sắc được công diễn, trong đó có tiết mục ""Ca múa: Sắc màu quê hương, Tôi yêu Tổ quốc tôi và 80 năm viết tiếp bản hùng ca"" của đoàn nghệ thuật Đại học Đông Á.",,0,"12/17/2024 00:27",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0JNwwLnFu6NdPqTrfLZxPqMjPTT1xvNSM35PNy1W6Nh2UZr7wNVLvfjcuswHPCcvVl,0,1,"Liên kết",,,,,"Trọn đời",40,39,4,2,2,0,1,1,,
1106507781480017,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","""Điểm sáng của nhà trường là thiết kế các hoạt động gắn kết với thực tiễn và thể hiện được sự phù hợp với yêu cầu của ngành nghề""
""Ấn tượng và đánh giá cao việc quản lí và vận hành hệ thống dạy học Canvas""
""Sinh viên được tiếp cận sớm với thị trường lao động quốc tế thông qua các hoạt động hợp tác đưa sinh viên thực tập nghề nghiệp và làm việc tại các nước được nhà trường chăm lo""
""Cựu sinh viên đánh giá cao và ấn tượng khi nhắc về ĐH Đông Á, nhất là ở các chương trình hợp tác để sinh viên được đi thực tập thực tế, làm việc tại các nước trong khu vực và trên thế giới"", 
""Các nhà tuyển dụng lao động đều dành đánh giá đầy thiện chí với sản phẩm đào tạo là người học từ nhà trường"",... 
---
Những ý kiến đánh giá từ đoàn chuyên gia kiểm định chất lượng về tổng thể các mặt hoạt động của Đại học Đông Á!",,0,"12/17/2024 00:26",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid0KgrAxQAAUNswpyg911h5R1sH1X9Di2TBcNHZLnYXaHskjN7Vi13wAVLZX7jUcwWkl,0,1,Video,,,,,"Trọn đời",28,27,2,1,1,0,0,,,
1101279442002851,100063624155619,"Viện Nghiên cứu Quốc tế về Trí tuệ nhân tạo và Khoa học dữ liệu","🤝 Tại chuyến thăm và làm việc với Đại học Đông Á của đoàn Thị trưởng Bagulin tỉnh La Union, Philippines, hai bên đã có những chia sẻ về kinh nghiệm đào tạo nhân lực và cơ hội phát triển hợp tác trong lĩnh vực giáo dục Việt Nam - Philippines.",,0,"12/10/2024 00:45",N/A,https://www.facebook.com/IAD.DongA/posts/pfbid03hmGKxDMYHRtVZkGUrnMqci9iXrg5ymND32GBiB3iFqGo9AATbYoroodhcBv6BMfl,0,1,Ảnh,,,,,"Trọn đời",42,34,4,2,2,0,2,1,1,
